+-----------+--------+---------+------------+
| Flow Rate |  Head  |  Power  | Efficiency |
+-----------+--------+---------+------------+
|      0.00 |  50.81 |    9.80 |      59.81 |
|      1.01 |  49.39 |   10.82 |      60.66 |
|      2.02 |  49.13 |   10.53 |      60.26 |
|      3.03 |  48.55 |   12.19 |      60.38 |
|      4.04 |  49.22 |   10.95 |      59.55 |
|      5.05 |  47.33 |   11.14 |      60.21 |
|      6.06 |  49.05 |   11.60 |      60.53 |
|      7.07 |  47.50 |   12.38 |      59.72 |
|      8.08 |  47.74 |   12.67 |      60.11 |
|      9.09 |  47.15 |   14.61 |      60.32 |
|     10.10 |  47.70 |   13.88 |      59.69 |
|     11.11 |  45.64 |   13.77 |      60.61 |
|     12.12 |  46.20 |   15.41 |      60.98 |
|     13.13 |  45.87 |   14.96 |      60.24 |
|     14.14 |  46.32 |   15.04 |      60.98 |
|     15.15 |  44.90 |   16.50 |      60.30 |
|     16.16 |  45.06 |   16.78 |      61.12 |
|     17.17 |  44.41 |   16.65 |      60.54 |
|     18.18 |  44.57 |   17.98 |      62.15 |
|     19.19 |  44.53 |   17.74 |      62.07 |
|     20.20 |  43.39 |   18.89 |      62.16 |
|     21.21 |  44.21 |   18.74 |      62.13 |
|     22.22 |  43.78 |   19.67 |      63.54 |
|     23.23 |  43.28 |   19.35 |      64.32 |
|     24.24 |  43.18 |   19.09 |      62.88 |
|     25.25 |  42.08 |   21.33 |      64.94 |
|     26.26 |  42.06 |   20.23 |      65.70 |
|     27.27 |  41.35 |   20.81 |      65.67 |
|     28.28 |  41.38 |   20.96 |      65.55 |
|     29.29 |  41.48 |   21.61 |      67.28 |
|     30.30 |  40.56 |   22.24 |      67.49 |
|     31.31 |  40.41 |   22.63 |      68.05 |
|     32.32 |  39.96 |   23.26 |      68.54 |
|     33.33 |  39.58 |   24.23 |      70.26 |
|     34.34 |  39.36 |   23.68 |      71.23 |
|     35.35 |  39.39 |   23.52 |      71.39 |
|     36.36 |  38.53 |   23.95 |      72.82 |
|     37.37 |  38.90 |   24.62 |      72.85 |
|     38.38 |  39.31 |   24.52 |      74.67 |
|     39.39 |  38.55 |   26.17 |      75.12 |
|     40.40 |  37.78 |   25.91 |      75.79 |
|     41.41 |  37.13 |   26.41 |      76.58 |
|     42.42 |  36.90 |   26.97 |      77.76 |
|     43.43 |  37.82 |   26.67 |      78.33 |
|     44.44 |  36.69 |   27.35 |      78.78 |
|     45.46 |  36.04 |   28.52 |      79.06 |
|     46.47 |  36.16 |   28.90 |      79.42 |
|     47.47 |  36.81 |   28.77 |      79.99 |
|     48.49 |  35.51 |   30.30 |      80.00 |
|     49.49 |  35.46 |   29.15 |      80.33 |
|     50.51 |  35.00 |   30.03 |      79.83 |
|     51.51 |  34.37 |   30.49 |      78.67 |
|     52.53 |  33.67 |   29.61 |      80.20 |
|     53.53 |  33.76 |   32.38 |      80.48 |
|     54.54 |  33.53 |   32.00 |      79.21 |
|     55.56 |  33.63 |   31.70 |      78.46 |
|     56.57 |  33.45 |   33.65 |      77.89 |
|     57.58 |  33.19 |   33.32 |      77.27 |
|     58.59 |  32.57 |   33.65 |      76.64 |
|     59.60 |  32.56 |   33.53 |      75.33 |
|     60.61 |  31.44 |   34.30 |      74.84 |
|     61.62 |  32.14 |   33.88 |      73.78 |
|     62.63 |  31.47 |   35.45 |      73.55 |
|     63.64 |  30.76 |   35.27 |      72.42 |
|     64.65 |  30.85 |   35.93 |      71.95 |
|     65.66 |  30.26 |   36.86 |      70.75 |
|     66.67 |  30.57 |   36.81 |      70.48 |
|     67.68 |  30.46 |   37.20 |      69.26 |
|     68.69 |  30.49 |   37.61 |      69.45 |
|     69.70 |  28.39 |   37.51 |      66.63 |
|     70.71 |  28.07 |   38.70 |      66.52 |
|     71.72 |  28.23 |   39.46 |      66.60 |
|     72.73 |  28.26 |   39.47 |      66.76 |
|     73.74 |  28.32 |   39.94 |      64.76 |
|     74.75 |  27.73 |   39.46 |      64.35 |
|     75.76 |  26.26 |   39.87 |      63.69 |
|     76.77 |  26.82 |   39.99 |      64.00 |
|     77.78 |  27.08 |   41.73 |      62.76 |
|     78.79 |  26.48 |   41.39 |      62.86 |
|     79.80 |  26.44 |   42.62 |      62.01 |
|     80.81 |  25.65 |   42.66 |      61.23 |
|     81.82 |  25.35 |   44.96 |      61.75 |
|     82.83 |  25.25 |   45.94 |      61.60 |
|     83.84 |  25.05 |   46.52 |      61.79 |
|     84.85 |  24.65 |   46.65 |      60.90 |
|     85.86 |  24.30 |   46.63 |      60.49 |
|     86.87 |  23.60 |   47.76 |      60.95 |
|     87.88 |  23.83 |   48.35 |      60.67 |
|     88.89 |  23.39 |   48.50 |      60.60 |
|     89.90 |  23.59 |   49.15 |      60.34 |
|     90.91 |  23.33 |   49.30 |      60.88 |
|     91.92 |  22.52 |   49.89 |      60.43 |
|     92.93 |  21.93 |   50.91 |      61.15 |
|     93.94 |  21.50 |   51.28 |      60.72 |
|     94.95 |  21.73 |   51.74 |      60.46 |
|     95.96 |  21.25 |   51.99 |      59.29 |
|     96.97 |  20.74 |   52.90 |      60.38 |
|     97.98 |  20.63 |   53.82 |      60.27 |
|     98.99 |  19.99 |   53.87 |      60.46 |
|    100.00 |  20.35 |   54.74 |      60.56 |
+-----------+--------+---------+------------+
